City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Butaritari,KI,82.8,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
17,Gold Coast,AU,85.15,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
19,Kailua,US,85.98,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
21,Port Moresby,PG,83.62,shower rain,-9.4431,147.1797,Lamana Hotel (Port Moresby)
22,Kapaa,US,82.38,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
27,Meulaboh,ID,81.27,overcast clouds,4.1363,96.1285,Kost Pria
30,Sri Aman,MY,80.65,few clouds,1.2376,111.4621,Seri Simanggang Hotel
33,Buala,SB,83.77,light rain,-8.145,159.5921,Maringe Lagoon Lodge
34,Nanakuli,US,85.95,clear sky,21.3906,-158.1547,Camp Pālehua
37,San Patricio,US,78.82,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
38,Hilo,US,80.33,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
46,Nova Olimpia,BR,80.38,few clouds,-14.7972,-57.2881,Motel glamour
48,Bourail,NC,75.07,overcast clouds,-21.5667,165.4833,Motel Allamanda
49,Shingu,JP,83.39,clear sky,33.7333,135.9833,Shingu UI Hotel
50,Tessalit,ML,83.34,broken clouds,20.1986,1.0114,
52,Daru,PG,83.43,broken clouds,-9.0763,143.2092,Daru Lodge
54,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Hotel Pigalle
55,Hasaki,JP,81.0,clear sky,35.7333,140.8333,Hotel Sunrise Choshi
57,Monrovia,LR,76.77,moderate rain,6.3005,-10.7969,Sunset Inn
60,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
69,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
80,Udon Thani,TH,89.85,scattered clouds,17.3333,102.8333,P.T.K. Apartment
81,Kibala,TD,75.15,few clouds,9.1104,18.3463,hotel safari
84,Acarau,BR,78.75,few clouds,-2.8856,-40.12,castelo pizzaria
86,Salalah,OM,80.69,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
87,Matara,LK,79.97,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
88,Santa Cruz Del Sur,CU,75.87,clear sky,20.7147,-77.9956,
94,Georgetown,MY,86.9,few clouds,5.4112,100.3354,Cititel Penang
95,Dori,BF,84.87,clear sky,14.0354,-0.0345,Hôtel Liptako
97,Victoria,HK,89.65,scattered clouds,22.2855,114.1577,Mini Hotel Central
102,Casino,AU,80.55,broken clouds,-28.8667,153.05,Squatters Homestead Motel
104,Faanui,PF,79.11,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Norsup,VU,77.94,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
115,Kavieng,PG,85.28,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
119,Salinas,US,75.52,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
121,Byron Bay,AU,80.71,broken clouds,-28.65,153.6167,Backpackers Inn on the Beach
124,Nanlong,CN,81.55,broken clouds,31.3533,106.0631,Demei Hotel
125,Bagotville,AU,80.62,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
128,Cockburn Town,TC,82.54,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
131,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
132,Raub,MY,76.06,overcast clouds,3.7899,101.857,Daniels Guest House Raub
135,Bhainsdehi,IN,76.28,moderate rain,21.6467,77.6325,Prince Rathore HOME
136,Airai,TL,81.43,overcast clouds,-8.9266,125.4092,Juvinal Martin
