City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Plettenberg Bay,ZA,-34.0527,23.3716,56.05,86,95,11.43,overcast clouds
1,Esperance,AU,-33.8667,121.9,60.3,63,38,25.48,scattered clouds
2,Arraial Do Cabo,BR,-22.9661,-42.0278,69.82,95,76,12.55,moderate rain
3,Butaritari,KI,3.0707,172.7902,82.8,75,100,16.98,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,73.26,69,29,20.58,scattered clouds
5,Hobart,AU,-42.8794,147.3294,59.11,92,90,14.97,drizzle
6,East London,ZA,-33.0153,27.9116,60.84,85,90,14.88,overcast clouds
7,Busselton,AU,-33.65,115.3333,59.04,65,73,17.43,broken clouds
8,Synya,RU,65.3718,58.0387,33.75,85,100,4.92,overcast clouds
9,Fortuna,US,40.5982,-124.1573,66.18,71,40,0.0,scattered clouds
10,Yanaul,RU,56.2719,54.9309,44.26,95,100,4.56,light rain
11,Husavik,IS,66.0449,-17.3389,42.71,98,100,18.52,overcast clouds
12,Matay,EG,28.419,30.7792,68.2,75,0,10.56,clear sky
13,Svelgen,NO,61.7685,5.2955,54.28,78,6,14.65,clear sky
14,Yellowknife,CA,62.456,-114.3525,46.42,99,40,1.99,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,60.48,69,100,6.82,overcast clouds
16,Ushuaia,AR,-54.8,-68.3,35.26,80,40,17.27,light rain
17,Gold Coast,AU,-28.0,153.4333,85.15,43,75,4.0,broken clouds
18,Marathon,US,44.9,-89.7668,69.8,87,1,3.44,clear sky
19,Kailua,US,21.4022,-157.7394,85.98,69,40,10.36,scattered clouds
20,Novyy Urengoy,RU,66.0833,76.6333,29.97,91,100,16.2,overcast clouds
21,Port Moresby,PG,-9.4431,147.1797,83.62,79,40,14.97,shower rain
22,Kapaa,US,22.0752,-159.319,82.38,73,20,5.01,few clouds
23,Prince Rupert,CA,54.3161,-130.3201,51.49,87,90,24.16,moderate rain
24,Port Elizabeth,ZA,-33.918,25.5701,56.1,84,82,17.72,light rain
25,Lompoc,US,34.6391,-120.4579,74.79,100,75,4.61,fog
26,Khatanga,RU,71.9667,102.5,28.56,88,100,3.56,overcast clouds
27,Meulaboh,ID,4.1363,96.1285,81.27,68,89,1.63,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,68.07,60,90,11.5,overcast clouds
29,Mahebourg,MU,-20.4081,57.7,74.25,73,75,12.66,broken clouds
30,Sri Aman,MY,1.2376,111.4621,80.65,89,20,6.91,few clouds
31,Fairbanks,US,64.8378,-147.7164,31.6,93,90,0.0,light snow
32,Lebu,CL,-37.6167,-73.65,47.57,79,92,18.1,overcast clouds
33,Buala,SB,-8.145,159.5921,83.77,73,95,2.08,light rain
34,Nanakuli,US,21.3906,-158.1547,85.95,58,1,12.66,clear sky
35,Puerto Ayora,EC,-0.7393,-90.3518,68.9,92,73,7.16,broken clouds
36,Ulladulla,AU,-35.35,150.4667,71.1,75,47,5.66,light rain
37,San Patricio,US,28.017,-97.5169,78.82,80,79,7.11,broken clouds
38,Hilo,US,19.7297,-155.09,80.33,76,1,6.91,light rain
39,Villa Bisono,DO,19.5638,-70.8758,72.1,87,100,5.12,overcast clouds
40,Dikson,RU,73.5069,80.5464,31.68,80,100,19.48,overcast clouds
