City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Alfred,ZA,2021-10-01 13:30:30,-33.5906,26.891,66.42,83,61,17.52
1,Saint-Philippe,RE,2021-10-01 13:30:31,-21.3585,55.7679,76.59,75,31,12.46
2,Beloha,MG,2021-10-01 13:30:31,-25.1667,45.05,84.42,42,0,11.3
3,Nanortalik,GL,2021-10-01 13:30:32,60.1432,-45.2371,41.45,49,0,7.45
4,Lompoc,US,2021-10-01 13:28:04,34.6391,-120.4579,67.57,71,1,0.0
5,Hilo,US,2021-10-01 13:30:22,19.7297,-155.09,73.13,91,40,4.61
6,Pergamino,AR,2021-10-01 13:30:32,-33.89,-60.5736,68.25,31,0,13.62
7,Ushuaia,AR,2021-10-01 13:30:32,-54.8,-68.3,44.22,75,75,25.32
8,Hobart,AU,2021-10-01 13:26:03,-42.8794,147.3294,57.11,98,75,1.01
9,Rikitea,PF,2021-10-01 13:30:33,-23.1203,-134.9692,72.95,73,5,18.86
10,Khatanga,RU,2021-10-01 13:30:33,71.9667,102.5,28.04,97,100,2.28
11,Podgornoye,RU,2021-10-01 13:30:34,51.735,39.1496,41.22,87,90,4.47
12,Torbay,CA,2021-10-01 13:30:29,47.6666,-52.7314,62.28,99,90,5.75
13,Busselton,AU,2021-10-01 13:25:41,-33.65,115.3333,51.08,82,100,10.83
14,Nome,US,2021-10-01 13:30:34,64.5011,-165.4064,30.27,64,1,14.97
15,Bengkulu,ID,2021-10-01 13:30:35,-3.8004,102.2655,78.01,85,100,5.03
16,Mataura,NZ,2021-10-01 13:30:35,-46.1927,168.8643,49.48,97,100,2.24
17,Chokwe,MZ,2021-10-01 13:30:35,-24.5333,32.9833,86.88,38,33,2.55
18,Mahebourg,MU,2021-10-01 13:30:35,-20.4081,57.7,74.25,68,40,12.66
19,Mareeba,AU,2021-10-01 13:30:36,-17.0,145.4333,70.52,93,95,0.65
20,Vao,NC,2021-10-01 13:30:36,-22.6667,167.4833,70.74,89,100,23.17
21,Kalawit,PH,2021-10-01 13:30:36,8.0667,122.5167,80.62,80,77,3.11
22,Meulaboh,ID,2021-10-01 13:30:37,4.1363,96.1285,75.49,85,100,4.03
23,Rawson,AR,2021-10-01 13:30:37,-43.3002,-65.1023,54.54,28,3,7.31
24,Fortuna,US,2021-10-01 13:30:37,40.5982,-124.1573,56.86,75,90,0.0
25,Port Elizabeth,ZA,2021-10-01 13:30:38,-33.918,25.5701,63.1,94,90,16.11
26,Cabo San Lucas,MX,2021-10-01 13:26:12,22.8909,-109.9124,72.61,83,11,5.06
27,Poum,NC,2021-10-01 13:30:38,-20.2333,164.0167,75.09,86,100,22.39
28,Del Rio,US,2021-10-01 13:30:38,29.3627,-100.8968,71.71,97,40,9.22
29,Kahului,US,2021-10-01 13:30:39,20.8947,-156.47,76.26,82,75,9.22
30,Hasaki,JP,2021-10-01 13:30:39,35.7333,140.8333,66.6,88,100,38.3
31,Tilichiki,RU,2021-10-01 13:30:39,60.4667,166.1,29.61,96,100,5.7
32,Albany,US,2021-10-01 13:28:58,42.6001,-73.9662,54.3,92,3,5.95
33,Manyana,BW,2021-10-01 13:30:40,-23.4,21.7167,90.3,8,4,16.11
34,Cape Town,ZA,2021-10-01 13:29:30,-33.9258,18.4232,68.11,58,20,26.46
